sub_dir,N,model_name,literals_number,Assignments_satisfied_number,Assignments_not_satisfied_number,Assignments_satisfied_rate
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-4-turbo,8,gpt-4-turbo,8,0,0,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-4-turbo,10,gpt-4-turbo,10,0,3,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-4-turbo,25,gpt-4-turbo,25,0,0,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-4-turbo,50,gpt-4-turbo,50,0,0,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-4-turbo,60,gpt-4-turbo,60,0,0,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-4.1,5,gpt-4.1,5,0,0,0.0
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-4.1,8,gpt-4.1,8,1,13,0.07142857142857142
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-4.1,10,gpt-4.1,10,0,2,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-4.1,25,gpt-4.1,25,0,4,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-4.1,50,gpt-4.1,50,0,5,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-4.1,60,gpt-4.1,60,0,3,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,5,gpt-4o,5,1,6,0.14285714285714285
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-4o,5,gpt-4o,5,1,6,0.14285714285714285
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,8,gpt-4o,8,0,10,0.0
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-4o,8,gpt-4o,8,0,6,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-4o,10,gpt-4o,10,0,6,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,10,gpt-4o,10,0,8,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-4o,25,gpt-4o,25,0,14,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,25,gpt-4o,25,0,24,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,50,gpt-4o,50,0,36,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-4o,50,gpt-4o,50,0,22,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-4o,60,gpt-4o,60,0,17,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_chatgpt-4o-latest,60,gpt-4o,60,0,28,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_o1,10,o1,10,30,10,0.75
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_o1,25,o1,25,1,13,0.07142857142857142
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_o1,50,o1,50,0,0,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_o3-mini,5,o3-mini,5,62,2,0.96875
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_o3-mini,8,o3-mini,8,47,7,0.8703703703703703
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_o3-mini,10,o3-mini,10,24,9,0.7272727272727273
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_o3-mini,25,o3-mini,25,0,0,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_o3-mini,50,o3-mini,50,0,0,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_o3-mini,60,o3-mini,60,0,0,0.0
