sub_dir,N,model_name,literals_number,Assignments_satisfied_number,Assignments_not_satisfied_number,Assignments_satisfied_rate
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-4.1,8,gpt-4.1,8,8,125,0.06015037593984962
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-4.1,10,gpt-4.1,10,1,136,0.0072992700729927005
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-4.1,25,gpt-4.1,25,0,139,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-4.1,50,gpt-4.1,50,0,138,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-4.1,60,gpt-4.1,60,0,108,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-4o,5,gpt-4o,5,5,115,0.041666666666666664
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-4o,8,gpt-4o,8,0,121,0.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-4o,10,gpt-4o,10,0,125,0.0
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-4o,25,gpt-4o,25,0,111,0.0
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-4o,50,gpt-4o,50,0,91,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_gpt-4o,60,gpt-4o,60,0,61,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_gpt-5,5,gpt-5,5,70,0,1.0
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_gpt-5,8,gpt-5,8,70,0,1.0
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_gpt-5,10,gpt-5,10,69,1,0.9857142857142858
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_gpt-5,25,gpt-5,25,49,11,0.8166666666666667
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_gpt-5,50,gpt-5,50,1,6,0.14285714285714285
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_o1,10,o1,10,49,36,0.5764705882352941
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_o1,25,o1,25,1,70,0.014084507042253521
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_o1,50,o1,50,0,71,0.0
unsat_cnf_low_alpha_N_5_openai_prediction_o1_openai_prediction_o3-mini,5,o3-mini,5,67,7,0.9054054054054054
unsat_cnf_low_alpha_N_8_openai_prediction_o1_openai_prediction_o3-mini,8,o3-mini,8,61,25,0.7093023255813954
unsat_cnf_low_alpha_N_10_openai_prediction_o1_openai_prediction_o3-mini,10,o3-mini,10,55,49,0.5288461538461539
unsat_cnf_low_alpha_N_25_openai_prediction_o1_openai_prediction_o3-mini,25,o3-mini,25,5,133,0.036231884057971016
unsat_cnf_low_alpha_N_50_openai_prediction_o1_openai_prediction_o3-mini,50,o3-mini,50,0,135,0.0
unsat_cnf_low_alpha_N_60_openai_prediction_o1_openai_prediction_o3-mini,60,o3-mini,60,0,105,0.0
